type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,SP,dd,per_dd,ContractName,BasketID,commision,MarginRequired,Duration
PE,2020-01-09 13:27:00,2020-01-10 10:28:00,147.0,97.65,Short,1,49.349999999999994,680.2499999999999,500113.25,Adj,31800,-393.75,0.07883940388400446,BANKNIFTY3170016JAN20PE,2,60,2205.0,0 days 21:01:00
PE,2020-01-09 13:27:00,2020-01-10 10:28:00,49.35,27.65,Long,1,-21.700000000000003,-385.50000000000006,499727.75,Adj,UP,-333.75,0.06673488454864973,BANKNIFTY3100016JAN20PE,2,60,740.25,0 days 21:01:00
CE,2020-01-09 10:00:00,2020-01-10 14:07:00,86.5,123.1,Short,1,-36.599999999999994,-608.9999999999999,499118.75,Adj,31800,-2238.0,0.44784385097685686,BANKNIFTY3240016JAN20CE,2,60,1297.5,1 days 04:07:00
CE,2020-01-09 10:00:00,2020-01-10 14:07:00,32.0,44.4,Long,1,12.399999999999999,125.99999999999997,499244.75,Adj,UP,166.50000000000003,0.0333587948759689,BANKNIFTY3280016JAN20CE,2,60,480.0,1 days 04:07:00
PE,2020-01-10 10:28:00,2020-01-16 09:15:00,57.25,2.7,Long,1,-54.55,-878.25,498366.5,BAExit,31800,-826.5,0.16555006337072148,BANKNIFTY3140016JAN20PE,2,60,858.75,5 days 22:47:00
CE,2020-01-10 14:07:00,2020-01-16 09:15:00,81.55,1.5,Long,1,-80.05,-1260.75,497105.75,BAExit,31800,-1203.75,0.24153910826670735,BANKNIFTY3260016JAN20CE,2,60,1223.25,5 days 19:08:00
CE,2020-01-10 14:07:00,2020-01-16 09:15:00,245.0,25.0,Short,1,220.0,3240.0,500345.75,BAExit,31800,-2243.25,0.4512621308443928,BANKNIFTY3210016JAN20CE,2,60,3675.0,5 days 19:08:00
PE,2020-01-10 10:28:00,2020-01-16 09:15:00,184.45,155.7,Short,1,28.75,371.25,500717.0,BAExit,31800,-2243.25,0.4483399729087336,BANKNIFTY3200016JAN20PE,2,60,2766.75,5 days 22:47:00
CE,2020-01-16 10:00:00,2020-01-16 11:00:00,114.5,73.0,Short,1,41.5,562.5,501279.5,Adj,31900,-37.5,0.00748926040058556,BANKNIFTY3240023JAN20CE,3,60,1717.5,0 days 01:00:00
CE,2020-01-16 10:00:00,2020-01-16 11:00:00,40.05,23.95,Long,1,-16.099999999999998,-301.5,500978.0,Adj,UP,-248.99999999999997,0.049672887081957266,BANKNIFTY3280023JAN20CE,3,60,600.75,0 days 01:00:00
PE,2020-01-16 10:00:00,2020-01-16 13:58:00,90.95,76.65,Short,1,14.299999999999997,154.49999999999994,501132.5,Adj,31900,-1275.75,0.25465190088187506,BANKNIFTY3140023JAN20PE,3,60,1364.25,0 days 03:58:00
PE,2020-01-16 10:00:00,2020-01-16 13:58:00,33.5,26.95,Long,1,-6.550000000000001,-158.25,500974.25,Adj,UP,-101.25,0.020204237402283828,BANKNIFTY3090023JAN20PE,3,60,502.5,0 days 03:58:00
CE,2020-01-16 11:00:00,2020-01-17 09:15:00,126.3,64.35,Short,1,61.95,869.25,501843.5,Adj,31900,-720.75,0.1438696699481061,BANKNIFTY3220023JAN20CE,3,60,1894.5,0 days 22:15:00
